,Unnamed: 0,product_title,product_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,delivery,has_variations,Sales_per_last_month
194,194,"SAMSUNG Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Amber Yellow",859.99,USD,4.4,424,1,859.99,False,False,True,True,"FREE delivery Tue, Sep 24",False,50.0
195,195,"Magnetic for iPhone 16 Case,[Compatible with MagSafe][Military Grade Drop Protection] Anti-Fingerprint Translucent Matte Shockproof Protective Case for iPhone 16 Phone Case 6.1&quot;,Deep Purple",21.99,USD,5.0,2,1,21.99,False,False,True,False,"FREE delivery Fri, Sep 27 on $35 of items shipped by Amazon",False,0.0
196,196,"CAT S62 Rugged Cell Phone Unlocked (128GB, 4GB) 5.7&quot; IP68 Waterproof Android Smartphone, 12MP Dual Camera, All Day Battery, NFC, Fingerprint Unlock, Snapdragon 660 Nano Slot(Black) New",169.0,USD,3.5,124,4,119.99,False,False,True,False,"FREE delivery Tue, Sep 24 Only 14 left in stock - order soon.",False,100.0
197,197,"OnePlus Open, 16GB RAM+512GB, Dual-SIM, Voyager Black, US Factory Unlocked Android Smartphone, 4805 mAh Battery, 67W Fast Charging, Hasselblad Camera, 120Hz Fluid Display",1299.99,USD,4.1,218,4,1138.07,False,False,True,False,"FREE delivery Tue, Sep 24",True,200.0
198,198,"NUU A15 Cell Phone 4GB + 128GB, Unlocked for Mint, Metro, T-Mobile, Qlink and More, Perfect for Teenagers, Dual SIM 4G, Octa-Core Helio G36 2.2GHz 6.5&quot; HD+, Android 13, Purple, US Warranty",119.99,USD,4.0,210,1,119.99,False,False,True,False,"FREE delivery Tue, Sep 24",True,100.0
199,199,Samsung Galaxy S23 FE S711B 256GB Dual SIM GSM Unlocked Android Smartphone - Graphite,473.5,USD,4.2,99,1,473.5,False,False,False,False,"FREE delivery Sep 24 - 26 Or fastest delivery Tomorrow, Sep 20 Only 3 left in stock - order soon.",True,50.0
200,200,"Panasonic 2-Line Corded/Cordless Phone System with 2 Handsets - Answering Machine, Link2Cell, 3-Way Conference, Call Block, Long Range DECT 6.0, Bluetooth - KX-TG9582B (Black)",229.0,USD,4.1,1018,8,135.62,False,False,True,False,"FREE delivery Tue, Sep 24",False,300.0
201,201,"Motorola One 5G UW Ace (64GB, 4GB) 6.7&quot;, Snapdragon 750G, 5000mAh Battery (US Model Only for Verizon, Visable, Straight Talk, Total, Xfinity) XT21131PP (w/Fast Charger, Volcanic Grey)",69.99,USD,0.0,0,2,68.49,False,False,False,False,FREE delivery,False,0.0
202,202,Nokia C2 2E | Android 11 (Go Edition) | Unlocked Smartphone | All Day Battery | Dual SIM | 2/32GB | 5.7-Inch Screen | International Version | Blue,59.99,USD,3.2,18,2,59.39,False,False,True,False,"FREE delivery Tue, Sep 24",False,50.0
203,203,Straight Talk Apple iPhone 7 32GB - Silver,83.0,USD,3.8,67,4,82.17,False,False,False,False,FREE delivery Sep 24 - 26 Or fastest delivery Sep 23 - 25,False,200.0
